Series_ID,1996,1997,1998,1999,2000,2001,2002,2003
MLUQS00NC00A1006,19.3,18.2,18.8,20.4,20.6,20.2,19.0,19.3
MLUQS00SC00A1006,19.3,18.2,18.8,20.4,20.6,20.2,,
MLUQS00NC00A2006,42.1,41.7,42.0,41.9,41.1,40.7,39.7,38.6
MLUQS00SC00A2006,42.1,41.7,42.0,41.9,41.1,40.7,,
MLUQS00NC00A3006,21.1,21.2,24.3,22.4,23.4,24.0,24.7,25.3
MLUQS00SC00A3006,21.1,21.2,24.3,22.4,23.4,24.0,,
MLUQS00NC00A4006,13.4,13.4,13.8,13.2,13.2,13.2,14.9,15.5
MLUQS00SC00A4006,13.4,13.4,13.8,13.2,13.2,13.2,,
MLUQS00NC00A5006,4.1,5.4,1.1,2.1,1.7,1.9,1.7,1.4
MLUQS00SC00A5006,4.1,5.4,1.1,2.1,1.7,1.9,,
MLUQS00NC00G1006,56.8,57.6,58.6,57.9,57.5,56.9,56.9,56.1
MLUQS00SC00G1006,56.8,57.6,58.6,57.9,57.5,56.9,,
MLUQS00NC00G2006,42.1,42.1,40.7,41.8,42.0,42.3,42.8,43.5
MLUQS00SC00G2006,42.1,42.1,40.7,41.8,42.0,42.3,,
MLUQS00NC00G3006,1.1,0.3,0.7,0.3,0.5,0.8,0.3,0.4
MLUQS00SC00G3006,1.1,0.3,0.7,0.3,0.5,0.8,,
