Series_ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
JTU11009900HIR,44.6,45.4,45.8,26.7,40.3,43.0,44.6,41.3,44.6,38.0
JTU11009900JOR,28.6,23,30,12.7,26.7,37.3,24.6,27.3,36.9,23.4
JTU11009900TSR,36.3,41.2,41.5,42.7,30.2,30.7,42.1,38.7,40.7,54.6
JTU23000000HIR,69.0,62.8,61.8,62.3,72.3,75.5,70.8,66.0,61.0,60.6
JTU23000000JOR,26.9,27.4,16.8,10.3,15.6,16.5,18.4,23.6,24.7,26.3
JTU23000000TSR,67.0,64.9,72.6,80.1,76.4,71.7,68.8,62.1,55.8,56.1
JTU30000000HIR,32.0,32.4,26.7,23.1,27.5,26.0,25.0,24.1,25.7,25.7
JTU30000000JOR,28.8,28.7,21.5,12.1,18.9,23,26.8,25.6,28.2,29.6
JTU30000000TSR,33.0,34.5,33.2,34.9,26.6,24.2,23.6,23.1,24.0,25.5
JTU40000000HIR,51.5,49.1,42.9,37.2,39.4,39.9,41.1,43.1,48.6,48.3
JTU40000000JOR,33,34.2,26,18,20.1,25.6,28.1,32.7,35.4,39.4
JTU40000000TSR,50.2,47.8,47.1,42.0,37.9,37.9,39.6,40.9,46.2,46.6
JTU51000000HIR,33.8,31.2,25.3,23.9,24.0,27.5,28.0,31.2,32.7,34.4
JTU51000000JOR,56.5,54.5,31.4,21,33.6,46.2,40.4,41,44.2,44.7
JTU51000000TSR,34.5,31.5,29.0,29.9,26.4,27.6,28.3,29.7,32.4,33.5
JTU51009900HIR,35.6,35.8,30.7,25.5,26.2,24.5,28.2,30.6,29.0,29.2
JTU51009900JOR,45.1,37.9,31.3,23.9,31.5,31,36.2,40.5,40.4,46.4
JTU51009900TSR,34.2,37.1,33.2,29.9,27.1,24.0,27.0,29.6,27.6,27.3
JTU54009900HIR,66.8,63.1,55.9,49.7,56.1,59.9,59.2,59.7,63.2,63.9
JTU54009900JOR,48,49.4,43.4,30.5,37,41.7,44.3,43.3,51.9,62.1
JTU54009900TSR,63.9,61.6,60.6,54.3,53.0,56.6,55.8,56.7,60.0,60.9
JTU60000000HIR,34.9,34.7,33.7,30.9,29.4,28.8,29.8,30.5,32.0,33.3
JTU60000000JOR,47.2,47.4,42.9,32.5,31.3,34.2,39.1,37.2,44,53.2
JTU60000000TSR,32.3,31.7,31.0,29.1,27.8,26.8,27.9,29.2,29.7,30.1
JTU70000000HIR,84.6,82.6,72.5,59.4,59.8,63.8,66.1,67.6,71.6,75.7
JTU70000000JOR,50.7,51.1,39.9,23.2,25.4,32.2,37.4,41.5,51.3,54.9
JTU70000000TSR,81.8,80.5,74.1,61.6,57.9,61.5,62.8,64.2,68.8,73.0
JTU81000000HIR,43.4,41.9,39.8,40.8,36.8,41.4,40.9,41.0,40.2,44.0
JTU81000000JOR,33.3,38.7,36.5,24.9,29.6,25.5,28.7,30.9,31.1,36.3
JTU81000000TSR,42.0,41.0,40.8,42.7,36.5,40.4,40.1,39.4,39.1,42.9
JTU90000000HIR,19.5,19.9,15.6,14.7,17.0,14.0,15.7,15.7,16.7,18.7
JTU90000000JOR,22.9,23.4,21.1,17.4,19.5,18,20,21.1,24.1,26.9
JTU90000000TSR,18.3,18.5,14.9,15.1,18.3,15.6,16.0,16.1,16.1,18.1
